,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
0,1,PHO,Deandre Ayton,University of Arizona,1.0,56.0,1732.0,918.0,587.0,107.0,0.588,0.0,0.757,30.9,16.4,10.5,1.9,4.8,0.134,0.7,1.2
1,2,SAC,Marvin Bagley,Duke University,1.0,47.0,1165.0,652.0,338.0,47.0,0.509,0.258,0.6970000000000001,24.8,13.9,7.2,1.0,2.7,0.111,-1.4,0.2
2,3,ATL,Luka Doncic,,1.0,57.0,1837.0,1194.0,415.0,324.0,0.434,0.353,0.726,32.2,20.9,7.3,5.7,4.4,0.115,3.9,2.7
3,4,MEM,Jaren Jackson,Michigan State University,1.0,58.0,1515.0,798.0,272.0,64.0,0.506,0.359,0.7659999999999999,26.1,13.8,4.7,1.1,3.5,0.111,0.3,0.9
4,5,DAL,Trae Young,University of Oklahoma,1.0,62.0,1897.0,1105.0,207.0,478.0,0.41,0.33,0.816,30.6,17.8,3.3,7.7,1.5,0.037000000000000005,-2.5,-0.2
5,6,ORL,Mohamed Bamba,University of Texas at Austin,1.0,47.0,766.0,292.0,233.0,39.0,0.48100000000000004,0.3,0.5870000000000001,16.3,6.2,5.0,0.8,1.7,0.10400000000000001,-0.1,0.4
6,7,CHI,Wendell Carter,Duke University,1.0,44.0,1110.0,455.0,307.0,78.0,0.485,0.188,0.795,25.2,10.3,7.0,1.8,2.0,0.084,-0.3,0.5
7,8,CLE,Collin Sexton,University of Alabama,1.0,62.0,1892.0,934.0,191.0,178.0,0.406,0.392,0.841,30.5,15.1,3.1,2.9,-1.4,-0.036000000000000004,-6.2,-2.0
8,9,NYK,Kevin Knox,University of Kentucky,1.0,55.0,1557.0,688.0,245.0,55.0,0.36,0.33,0.725,28.3,12.5,4.5,1.0,-1.4,-0.042,-6.5,-1.8
9,10,PHI,Mikal Bridges,Villanova University,1.0,62.0,1735.0,500.0,190.0,121.0,0.428,0.34600000000000003,0.779,28.0,8.1,3.1,2.0,2.1,0.057,0.0,0.9
10,11,CHO,Shai Gilgeous-Alexander,University of Kentucky,1.0,63.0,1606.0,616.0,167.0,187.0,0.45899999999999996,0.313,0.807,25.5,9.8,2.7,3.0,1.6,0.047,-1.3,0.3
11,12,LAC,Miles Bridges,Michigan State University,1.0,59.0,1133.0,391.0,212.0,55.0,0.447,0.311,0.75,19.2,6.6,3.6,0.9,1.6,0.067,-1.8,0.1
12,13,LAC,Jerome Robinson,Boston College,1.0,24.0,223.0,78.0,27.0,8.0,0.38,0.341,0.667,9.3,3.3,1.1,0.3,0.1,0.021,-4.6,-0.1
13,14,DEN,Michael Porter,University of Missouri,,,,,,,,,,21.694117647058825,8.623529411764707,3.9411764705882355,1.535294117647059,17.176470588235293,,-1.2941176470588236,2.511764705882353
14,15,WAS,Troy Brown,University of Oregon,1.0,31.0,225.0,77.0,44.0,31.0,0.397,0.263,0.667,7.3,2.5,1.4,1.0,0.2,0.042,-4.6,-0.1
15,16,PHO,Zhaire Smith,Texas Tech University,,,,,,,,,,16.509090909090908,6.9363636363636365,3.127272727272727,1.0999999999999999,12.845454545454546,,-3.9181818181818184,1.1545454545454545
16,17,MIL,Donte DiVincenzo,Villanova University,1.0,23.0,358.0,110.0,56.0,27.0,0.39299999999999996,0.24600000000000002,0.818,15.6,4.8,2.4,1.2,0.5,0.06,-1.9,0.0
17,18,SAS,Lonnie Walker,University of Miami,1.0,6.0,57.0,14.0,10.0,2.0,0.19,0.33299999999999996,1.0,9.5,2.3,1.7,0.3,-0.2,-0.168,-11.7,-0.1
18,19,ATL,Kevin Huerter,University of Maryland,1.0,56.0,1527.0,513.0,183.0,156.0,0.41700000000000004,0.389,0.745,27.3,9.2,3.3,2.8,1.0,0.03,-2.1,0.0
19,20,MIN,Josh Okogie,Georgia Institute of Technology,1.0,54.0,1231.0,412.0,164.0,61.0,0.37,0.265,0.742,22.8,7.6,3.0,1.1,0.6,0.023,-2.4,-0.1
20,21,UTA,Grayson Allen,Duke University,1.0,29.0,286.0,114.0,11.0,18.0,0.306,0.271,0.711,9.9,3.9,0.4,0.6,-0.2,-0.034,-8.1,-0.4
21,22,CHI,Chandler Hutchison,Boise State University,1.0,44.0,895.0,229.0,185.0,34.0,0.45899999999999996,0.28,0.605,20.3,5.2,4.2,0.8,0.6,0.033,-4.1,-0.5
22,23,IND,Aaron Holiday,"University of California, Los Angeles",1.0,39.0,455.0,209.0,55.0,58.0,0.379,0.299,0.882,11.7,5.4,1.4,1.5,0.5,0.053,-2.9,-0.1
23,24,POR,Anfernee Simons,,1.0,12.0,60.0,15.0,7.0,4.0,0.28,0.0,0.25,5.0,1.3,0.6,0.3,-0.4,-0.293,-16.8,-0.2
24,25,LAL,Moritz Wagner,University of Michigan,1.0,23.0,154.0,77.0,35.0,10.0,0.431,0.375,0.6,6.7,3.3,1.5,0.4,0.2,0.054000000000000006,-3.3,0.0
25,26,PHI,Landry Shamet,Wichita State University,1.0,61.0,1302.0,520.0,88.0,70.0,0.435,0.40399999999999997,0.8240000000000001,21.3,8.5,1.4,1.1,2.5,0.09300000000000001,-1.3,0.2
26,27,BOS,Robert Williams,Texas A&M University,1.0,25.0,221.0,70.0,59.0,5.0,0.738,,0.667,8.8,2.8,2.4,0.2,1.0,0.212,4.8,0.4
27,28,GSW,Jacob Evans,University of Cincinnati,1.0,23.0,99.0,13.0,9.0,13.0,0.24,0.16699999999999998,0.0,4.3,0.6,0.4,0.6,-0.2,-0.11699999999999999,-11.3,-0.2
28,29,BRK,Dzanan Musa,,1.0,8.0,34.0,16.0,4.0,1.0,0.4,0.0,0.0,4.3,2.0,0.5,0.1,-0.2,-0.226,-13.4,-0.1
29,30,ATL,Omari Spellman,Villanova University,1.0,45.0,786.0,263.0,189.0,45.0,0.40299999999999997,0.34700000000000003,0.698,17.5,5.8,4.2,1.0,1.2,0.071,-1.0,0.2
30,31,PHO,Elie Okobo,,1.0,42.0,778.0,238.0,81.0,108.0,0.37799999999999995,0.27399999999999997,0.8290000000000001,18.5,5.7,1.9,2.6,-0.6,-0.037000000000000005,-6.4,-0.9
31,32,MEM,Jevon Carter,West Virginia University,1.0,26.0,384.0,73.0,35.0,45.0,0.24100000000000002,0.23199999999999998,0.615,14.8,2.8,1.3,1.7,-0.6,-0.071,-6.1,-0.4
32,33,DAL,Jalen Brunson,Villanova University,1.0,53.0,997.0,398.0,111.0,134.0,0.445,0.37,0.6859999999999999,18.8,7.5,2.1,2.5,1.3,0.062,-3.0,-0.3
33,34,ATL,Devonte' Graham,University of Kansas,1.0,31.0,403.0,135.0,37.0,68.0,0.369,0.307,0.727,13.0,4.4,1.2,2.2,0.4,0.042,-4.0,-0.2
34,35,ORL,Melvin Frazier,Tulane University,1.0,7.0,32.0,12.0,3.0,0.0,0.429,0.0,,4.6,1.7,0.4,0.0,0.0,-0.046,-11.7,-0.1
35,36,NYK,Mitchell Robinson,,1.0,46.0,854.0,302.0,234.0,25.0,0.696,,0.568,18.6,6.6,5.1,0.5,3.8,0.214,6.7,1.9
36,37,SAC,Gary Trent,Duke University,1.0,9.0,38.0,14.0,4.0,1.0,0.263,0.33299999999999996,0.25,4.2,1.6,0.4,0.1,-0.1,-0.153,-13.6,-0.1
37,38,PHI,Khyri Thomas,Creighton University,1.0,18.0,158.0,50.0,15.0,5.0,0.354,0.345,0.667,8.8,2.8,0.8,0.3,0.2,0.052000000000000005,-3.4,-0.1
38,39,PHI,Isaac Bonga,,1.0,8.0,31.0,8.0,6.0,6.0,0.2,0.0,0.5710000000000001,3.9,1.0,0.8,0.8,0.0,-0.025,-3.5,0.0
39,40,BRK,Rodions Kurucs,,1.0,44.0,890.0,377.0,157.0,36.0,0.461,0.304,0.877,20.2,8.6,3.6,0.8,1.2,0.066,-2.5,-0.1
40,41,ORL,Jarred Vanderbilt,University of Kentucky,1.0,6.0,18.0,3.0,12.0,1.0,0.2,,0.25,3.0,0.5,2.0,0.2,0.0,-0.079,-7.6,0.0
41,42,DET,Bruce Brown,University of Miami,1.0,53.0,1065.0,249.0,144.0,70.0,0.387,0.267,0.688,20.1,4.7,2.7,1.3,0.8,0.035,-2.5,-0.1
42,43,DEN,Justin Jackson,University of Maryland,,,,,,,,,,15.333333333333334,5.688888888888889,2.2,1.0666666666666669,12.58888888888889,,-3.511111111111111,3.522222222222222
43,44,WAS,Issuf Sanon,,,,,,,,,,,15.5375,5.4375,2.2375,1.25,4.4125,,-3.0,-0.037500000000000006
44,45,BRK,Hamidou Diallo,University of Kentucky,1.0,45.0,515.0,190.0,94.0,17.0,0.466,0.174,0.61,11.4,4.2,2.1,0.4,0.8,0.077,-4.5,-0.3
45,46,HOU,De'Anthony Melton,University of Southern California,1.0,35.0,694.0,185.0,89.0,114.0,0.371,0.308,0.833,19.8,5.3,2.5,3.3,-0.1,-0.008,-2.7,-0.1
46,47,LAL,Sviatoslav Mykhailiuk,University of Kansas,1.0,40.0,429.0,130.0,35.0,35.0,0.331,0.322,0.6,10.7,3.3,0.9,0.9,-0.1,-0.013000000000000001,-5.8,-0.4
47,48,MIN,Keita Bates-Diop,Ohio State University,1.0,10.0,76.0,19.0,16.0,2.0,0.42100000000000004,0.111,0.4,7.6,1.9,1.6,0.2,0.1,0.038,-3.9,0.0
48,49,SAS,Chimezie Metu,University of Southern California,1.0,28.0,140.0,47.0,34.0,13.0,0.315,0.0,0.765,5.0,1.7,1.2,0.5,-0.3,-0.109,-9.1,-0.3
49,50,IND,Alize Johnson,Missouri State,1.0,11.0,32.0,6.0,8.0,0.0,0.2,0.5,0.25,2.9,0.5,0.7,0.0,-0.1,-0.098,-16.9,-0.1
50,51,NOP,Tony Carr,Pennsylvania State University,,,,,,,,,,18.333333333333332,7.0,2.066666666666667,1.8666666666666665,25.100000000000005,,-3.0999999999999996,7.300000000000001
51,52,UTA,Vince Edwards,Purdue University,1.0,2.0,16.0,3.0,2.0,0.0,0.25,0.25,,8.0,1.5,1.0,0.0,0.0,-0.024,-10.3,0.0
52,53,OKC,Devon Hall,University of Virginia,,,,,,,,,,12.700000000000001,3.514285714285714,1.7142857142857142,0.8857142857142856,5.314285714285715,,-4.8428571428571425,-0.19999999999999998
53,54,DAL,Shake Milton,Southern Methodist University,1.0,13.0,126.0,54.0,20.0,13.0,0.435,0.4,0.8,9.7,4.2,1.5,1.0,0.4,0.141,0.4,0.1
54,55,CHO,Arnoldas Kulboka,,,,,,,,,,,11.999999999999998,4.1000000000000005,1.6555555555555554,1.1777777777777776,5.588888888888889,,-5.8999999999999995,0.8777777777777778
55,56,PHI,Ray Spalding,University of Louisville,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.003,-5.8,0.0
56,57,OKC,Kevin Hervey,University of Texas at Arlington,,,,,,,,,,,,,,,,,
57,58,DEN,Thomas Welsh,"University of California, Los Angeles",1.0,9.0,33.0,14.0,4.0,4.0,0.5,0.429,0.5,3.7,1.6,0.4,0.4,0.1,0.136,-3.0,0.0
58,59,PHO,George King,University of Colorado,1.0,1.0,6.0,0.0,1.0,0.0,,,,6.0,0.0,1.0,0.0,0.0,-0.001,-10.6,0.0
59,60,PHI,Kostas Antetokounmpo,University of Dayton,,,,,,,,,,15.183333333333335,6.166666666666667,2.15,1.5166666666666666,8.183333333333332,,-3.633333333333333,1.9833333333333332
60,1,PHI,Markelle Fultz,University of Washington,2.0,33.0,680.0,255.0,113.0,112.0,0.414,0.267,0.534,20.6,7.7,3.4,3.4,0.6,0.04,-2.9,-0.2
61,2,LAL,Lonzo Ball,"University of California, Los Angeles",2.0,99.0,3203.0,993.0,611.0,631.0,0.38,0.315,0.43700000000000006,32.4,10.0,6.2,6.4,3.6,0.054000000000000006,1.1,2.5
62,3,BOS,Jayson Tatum,Duke University,2.0,142.0,4371.0,2122.0,789.0,241.0,0.466,0.406,0.8420000000000001,30.8,14.9,5.6,1.7,11.7,0.128,0.3,2.6
63,4,PHO,Josh Jackson,University of Kansas,2.0,139.0,3456.0,1699.0,610.0,263.0,0.41700000000000004,0.27399999999999997,0.648,24.9,12.2,4.4,1.9,-2.3,-0.031,-4.6,-2.3
64,5,SAC,De'Aaron Fox,University of Kentucky,2.0,133.0,3922.0,1882.0,424.0,752.0,0.434,0.34,0.726,29.5,14.2,3.2,5.7,3.4,0.042,-1.9,0.1
65,6,ORL,Jonathan Isaac,Florida State University,2.0,84.0,2035.0,675.0,401.0,72.0,0.41700000000000004,0.316,0.8270000000000001,24.2,8.0,4.8,0.9,3.0,0.07,-0.6,0.7
66,7,MIN,Lauri Markkanen,University of Arizona,2.0,107.0,3296.0,1788.0,862.0,132.0,0.43799999999999994,0.36700000000000005,0.8590000000000001,30.8,16.7,8.1,1.2,5.8,0.084,-1.7,0.3
67,8,NYK,Frank Ntilikina,,2.0,119.0,2578.0,704.0,259.0,366.0,0.35600000000000004,0.307,0.7290000000000001,21.7,5.9,2.2,3.1,-1.7,-0.032,-4.4,-1.5
68,9,DAL,Dennis Smith,North Carolina State University,2.0,112.0,3277.0,1632.0,387.0,569.0,0.408,0.319,0.674,29.3,14.6,3.5,5.1,0.0,0.0,-2.0,0.0
